
  masu						    VERB
  masen						    VERBNEG
  mashita                	 	VERBPAST
  masendeshita            		VERBPASTNEG
  desu                    		IS 
  deshita                 		WAS 
  o                        		OBJECT
  wa                       		SUBJECT
  ni                       		DESTINATION
  watashi					    PRONOUN
  anata						    PRONOUN
  kare						    PRONOUN   
  kanojo					    PRONOUN  
  sore      					PRONOUN
  mata                          CONNECTOR
  soshite                       CONNECTOR
  shikashi					    CONNECTOR
  dakara					    CONNECTOR
			
  eofm						    EOFM 
